order_id,customer_id,order_date,ship_date,status,items,total
ORD-2001,C-0042,2024-03-01,2024-03-03,shipped,2,124.50
ORD-2002,C-0117,2024-03-01,2024-03-04,shipped,1,59.00
ORD-2003,C-0088,2024-03-02,,processing,3,212.75
ORD-2004,C-0042,2024-03-03,2024-03-05,shipped,1,42.00
ORD-2005,C-0233,2024-03-04,2024-03-06,shipped,4,318.00
ORD-2006,C-0117,2024-03-05,2024-03-07,shipped,2,96.40
ORD-2007,C-0155,2024-03-06,2024-03-10,shipped,1,289.00
ORD-2008,C-0088,2024-03-07,,cancelled,2,118.00
ORD-2009,C-0301,2024-03-08,2024-03-11,shipped,3,204.60
ORD-2010,C-0233,2024-03-09,2024-03-12,shipped,2,134.00
ORD-2011,C-0155,2024-03-10,2024-03-13,shipped,5,412.50
ORD-2012,C-0420,2024-03-11,2024-03-14,shipped,1,74.00
ORD-2013,C-0042,2024-03-12,2024-03-15,shipped,2,158.90
ORD-2014,C-0301,2024-03-13,,processing,1,89.99
ORD-2015,C-0420,2024-03-14,2024-03-18,shipped,3,226.20
ORD-2016,C-0117,2024-03-15,2024-03-17,shipped,2,102.00
ORD-2017,C-0088,2024-03-16,2024-03-19,shipped,1,45.75
ORD-2018,C-0233,2024-03-17,2024-03-20,shipped,2,110.50
ORD-2019,C-0155,2024-03-18,,processing,4,355.00
ORD-2020,C-0301,2024-03-19,2024-03-22,shipped,2,130.00
ORD-2021,C-0420,2024-03-20,2024-03-23,shipped,1,59.00
ORD-2022,C-0042,2024-03-21,2024-03-24,shipped,3,246.30
ORD-2023,C-0117,2024-03-22,2024-03-26,shipped,1,42.00
ORD-2024,C-0088,2024-03-23,2024-03-27,shipped,2,120.00
ORD-2025,C-0233,2024-03-24,,processing,2,97.80
ORD-2026,C-0155,2024-03-25,2024-03-29,shipped,3,268.40
ORD-2027,C-0301,2024-03-26,2024-03-28,shipped,1,74.00
ORD-2028,C-0420,2024-03-27,2024-03-30,shipped,2,132.90
ORD-2029,C-0042,2024-03-28,2024-04-01,shipped,1,89.99
ORD-2030,C-0117,2024-03-29,2024-04-02,shipped,4,364.00
ORD-2031,C-0088,2024-03-30,2024-04-03,shipped,2,115.60
ORD-2032,C-0233,2024-03-31,2024-04-04,shipped,1,59.00
ORD-2033,C-0155,2024-04-01,2024-04-05,shipped,2,148.00
ORD-2034,C-0301,2024-04-02,,cancelled,1,45.75
ORD-2035,C-0420,2024-04-03,2024-04-06,shipped,3,230.10
ORD-2036,C-0042,2024-04-04,2024-04-08,shipped,2,118.40
